"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG122","Guideline development and consultation","GDG 7 minutes: 25 January 2010","18 May 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/gdg-7-minutes-25-january-20102","GDG_7_minutes_25_January_2010","18_May_2010","pdf","GDG_7_minutes_25_January_2010_18_May_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/GDG_7_minutes_25_January_2010_18_May_2010.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","GDG 1 minutes: 27 - 28 April 09","19 June 2009","pdf","https://www.nice.org.uk/guidance/cg122/documents/gdg-1-minutes-27-28-april-092","GDG_1_minutes_27_-_28_April_09","19_June_2009","pdf","GDG_1_minutes_27_-_28_April_09_19_June_2009.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/GDG_1_minutes_27_-_28_April_09_19_June_2009.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","GDG 5 minutes: 26 October 2009","21 January 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/gdg-5-minutes-26-october-20092","GDG_5_minutes_26_October_2009","21_January_2010","pdf","GDG_5_minutes_26_October_2009_21_January_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/GDG_5_minutes_26_October_2009_21_January_2010.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","GDG 8 minutes: 10 December 2009","21 May 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/gdg-8-minutes-10-december-20092","GDG_8_minutes_10_December_2009","21_May_2010","pdf","GDG_8_minutes_10_December_2009_21_May_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/GDG_8_minutes_10_December_2009_21_May_2010.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","Full guideline for consultation","21 October 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-full-guideline-for-consultation2","Full_guideline_for_consultation","21_October_2010","pdf","Full_guideline_for_consultation_21_October_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Full_guideline_for_consultation_21_October_2010.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","Comments proforma","24 September 2010","docx","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-comments-proforma2","Comments_proforma","24_September_2010","docx","Comments_proforma_24_September_2010.docx","D:/NICE_history/CG122","D:/NICE_history/CG122/Comments_proforma_24_September_2010.docx",TRUE,"downloaded",
"CG122","Guideline development and consultation","Confidentiality agreement","24 September 2010","docx","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-confidentiality-agreement2","Confidentiality_agreement","24_September_2010","docx","Confidentiality_agreement_24_September_2010.docx","D:/NICE_history/CG122","D:/NICE_history/CG122/Confidentiality_agreement_24_September_2010.docx",TRUE,"downloaded",
"CG122","Guideline development and consultation","Evidence review","24 September 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-evidence-review2","Evidence_review","24_September_2010","pdf","Evidence_review_24_September_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Evidence_review_24_September_2010.pdf",TRUE,"downloaded",
"CG122","Guideline development and consultation","NICE guideline for consultation","24 September 2010","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-nice-guideline-for-consultation2","NICE_guideline_for_consultation","24_September_2010","pdf","NICE_guideline_for_consultation_24_September_2010.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/NICE_guideline_for_consultation_24_September_2010.pdf",TRUE,"downloaded",
"CG122","Other information","Evidence update","01 January 2013","pdf","https://www.nice.org.uk/guidance/cg122/documents/cg122-ovarian-cancer-evidence-update2","Evidence_update","01_January_2013","pdf","Evidence_update_01_January_2013.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Evidence_update_01_January_2013.pdf",TRUE,"downloaded",
"CG122","Pre-publication check","Full guideline for pre-publication check","03 February 2011","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-full-guideline-for-prepublication-check2","Full_guideline_for_pre-publication_check","03_February_2011","pdf","Full_guideline_for_pre-publication_check_03_February_2011.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Full_guideline_for_pre-publication_check_03_February_2011.pdf",TRUE,"downloaded",
"CG122","Pre-publication check","Pre-publication check reporting form","03 February 2011","docx","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-prepublication-check-reporting-form2","Pre-publication_check_reporting_form","03_February_2011","docx","Pre-publication_check_reporting_form_03_February_2011.docx","D:/NICE_history/CG122","D:/NICE_history/CG122/Pre-publication_check_reporting_form_03_February_2011.docx",TRUE,"downloaded",
"CG122","Remit","Remit","01 November 2007","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-remit2","Remit","01_November_2007","pdf","Remit_01_November_2007.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Remit_01_November_2007.pdf",TRUE,"downloaded",
"CG122","Scoping workshop, consultation and final scope","Comments proforma","18 February 2009","docx","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-comments-proforma4","Comments_proforma","18_February_2009","docx","Comments_proforma_18_February_2009.docx","D:/NICE_history/CG122","D:/NICE_history/CG122/Comments_proforma_18_February_2009.docx",TRUE,"downloaded",
"CG122","Scoping workshop, consultation and final scope","Draft scope","18 February 2009","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-draft-scope2","Draft_scope","18_February_2009","pdf","Draft_scope_18_February_2009.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Draft_scope_18_February_2009.pdf",TRUE,"downloaded",
"CG122","Scoping workshop, consultation and final scope","Final scope","19 June 2009","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-final-scope2","Final_scope","19_June_2009","pdf","Final_scope_19_June_2009.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Final_scope_19_June_2009.pdf",TRUE,"downloaded",
"CG122","Scoping workshop, consultation and final scope","Scoping workshop notes","25 March 2009","pdf","https://www.nice.org.uk/guidance/cg122/documents/ovarian-cancer-scoping-workshop-notes2","Scoping_workshop_notes","25_March_2009","pdf","Scoping_workshop_notes_25_March_2009.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Scoping_workshop_notes_25_March_2009.pdf",TRUE,"downloaded",
"CG122","Stakeholder list updated","Stakeholder list","25 February 2026","pdf","https://www.nice.org.uk/guidance/cg122/documents/stakeholder-list-2","Stakeholder_list","25_February_2026","pdf","Stakeholder_list_25_February_2026.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Stakeholder_list_25_February_2026.pdf",TRUE,"downloaded",
