"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"NG208","Draft guidance consultation","Economic report MitraClip","16 March 2021","pdf","https://www.nice.org.uk/guidance/ng208/documents/economic-report-2","Economic_report_MitraClip","16_March_2021","pdf","Economic_report_MitraClip_16_March_2021.pdf","D:/NICE_history/NG208","D:/NICE_history/NG208/Economic_report_MitraClip_16_March_2021.pdf",TRUE,"downloaded",
"NG211","Committee meetings","Minutes 7","16 July 2019","pdf","https://www.nice.org.uk/guidance/ng211/documents/minutes-7","Minutes_7","16_July_2019","pdf","Minutes_7_16_July_2019.pdf","D:/NICE_history/NG211","D:/NICE_history/NG211/Minutes_7_16_July_2019.pdf",TRUE,"downloaded",
"NG211","Stakeholder list updated","Stakeholder list","17 January 2022","pdf","https://www.nice.org.uk/guidance/ng211/documents/stakeholder-list-2","Stakeholder_list","17_January_2022","pdf","Stakeholder_list_17_January_2022.pdf","D:/NICE_history/NG211","D:/NICE_history/NG211/Stakeholder_list_17_January_2022.pdf",TRUE,"downloaded",
"NG234","Draft guidance consultation","Evidence review J","03 March 2023","pdf","https://www.nice.org.uk/guidance/ng234/documents/evidence-review-10","Evidence_review_J","03_March_2023","pdf","Evidence_review_J_03_March_2023.pdf","D:/NICE_history/NG234","D:/NICE_history/NG234/Evidence_review_J_03_March_2023.pdf",TRUE,"downloaded",
"NG238","Committee meetings","Minutes 6","23 October 2023","pdf","https://www.nice.org.uk/guidance/ng238/documents/minutes-6","Minutes_6","23_October_2023","pdf","Minutes_6_23_October_2023.pdf","D:/NICE_history/NG238","D:/NICE_history/NG238/Minutes_6_23_October_2023.pdf",TRUE,"downloaded",
"NG241","Draft guidance consultation","Evidence review P","15 September 2023","pdf","https://www.nice.org.uk/guidance/ng241/documents/evidence-review-27","Evidence_review_P","15_September_2023","pdf","Evidence_review_P_15_September_2023.pdf","D:/NICE_history/NG241","D:/NICE_history/NG241/Evidence_review_P_15_September_2023.pdf",TRUE,"downloaded",
"NG249","Draft guidance consultation","Evidence review I","18 October 2024","pdf","https://www.nice.org.uk/guidance/ng249/documents/evidence-review-10","Evidence_review_I","18_October_2024","pdf","Evidence_review_I_18_October_2024.pdf","D:/NICE_history/NG249","D:/NICE_history/NG249/Evidence_review_I_18_October_2024.pdf",TRUE,"downloaded",
"NG250","Committee meetings","Minutes 11","09 January 2025","pdf","https://www.nice.org.uk/guidance/ng250/documents/minutes-14","Minutes_11","09_January_2025","pdf","Minutes_11_09_January_2025.pdf","D:/NICE_history/NG250","D:/NICE_history/NG250/Minutes_11_09_January_2025.pdf",TRUE,"downloaded",
"NG250","Stakeholder list updated","Stakeholder list","02 July 2025","pdf","https://www.nice.org.uk/guidance/ng250/documents/stakeholder-list","Stakeholder_list","02_July_2025","pdf","Stakeholder_list_02_July_2025.pdf","D:/NICE_history/NG250","D:/NICE_history/NG250/Stakeholder_list_02_July_2025.pdf",TRUE,"downloaded",
"NG255","Draft guidance consultation","Final scope","06 June 2025","pdf","https://www.nice.org.uk/guidance/ng255/documents/final-scope-2","Final_scope","06_June_2025","pdf","Final_scope_06_June_2025.pdf","D:/NICE_history/NG255","D:/NICE_history/NG255/Final_scope_06_June_2025.pdf",TRUE,"downloaded",
"NG257","Committee meetings","Minutes 10","06 December 2023","pdf","https://www.nice.org.uk/guidance/ng257/documents/minutes-10","Minutes_10","06_December_2023","pdf","Minutes_10_06_December_2023.pdf","D:/NICE_history/NG257","D:/NICE_history/NG257/Minutes_10_06_December_2023.pdf",TRUE,"downloaded",
"NG257","Draft guidance consultation","Equality and health inequalities assessment (downloadable version)","10 September 2025","pdf","https://www.nice.org.uk/guidance/ng257/documents/equality-and-health-inequalities","Equality_and_health_inequalities_assessment_(downloadable_version)","10_September_2025","pdf","Equality_and_health_inequalities_assessment_(downloadable_version)_10_September_2025.pdf","D:/NICE_history/NG257","D:/NICE_history/NG257/Equality_and_health_inequalities_assessment_(downloadable_version)_10_September_2025.pdf",TRUE,"downloaded",
"NG257","Draft guidance consultation","Evidence review H","10 September 2025","pdf","https://www.nice.org.uk/guidance/ng257/documents/evidence-review-8","Evidence_review_H","10_September_2025","pdf","Evidence_review_H_10_September_2025.pdf","D:/NICE_history/NG257","D:/NICE_history/NG257/Evidence_review_H_10_September_2025.pdf",TRUE,"downloaded",
"NG94","Committee meetings","Minutes 16","29 June 2016","pdf","https://www.nice.org.uk/guidance/ng94/documents/minutes","Minutes_16","29_June_2016","pdf","Minutes_16_29_June_2016.pdf","D:/NICE_history/NG94","D:/NICE_history/NG94/Minutes_16_29_June_2016.pdf",TRUE,"downloaded",
"NG56","Draft guidance consultation","Guideline appendices","17 May 2016","pdf","https://www.nice.org.uk/guidance/ng56/documents/guideline-appendices","Guideline_appendices","17_May_2016","pdf","Guideline_appendices_17_May_2016.pdf","D:/NICE_history/NG56","D:/NICE_history/NG56/Guideline_appendices_17_May_2016.pdf",TRUE,"downloaded",
"NG77","Consultation comments published","Consultation comments and responses","13 November 2015","docx","https://www.nice.org.uk/guidance/ng77/documents/consultation-comments-and-responses","Consultation_comments_and_responses","13_November_2015","docx","Consultation_comments_and_responses_13_November_2015.docx","D:/NICE_history/NG77","D:/NICE_history/NG77/Consultation_comments_and_responses_13_November_2015.docx",TRUE,"downloaded",
"NG133","Draft guidance consultation","Evidence review F","13 February 2019","pdf","https://www.nice.org.uk/guidance/ng133/documents/evidence-review-6","Evidence_review_F","13_February_2019","pdf","Evidence_review_F_13_February_2019.pdf","D:/NICE_history/NG133","D:/NICE_history/NG133/Evidence_review_F_13_February_2019.pdf",TRUE,"downloaded",
